session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Constructing the Artist ,AMS,Pavilion Ballroom A,David Bracke,McGill University,NA,NA,Paula Harper,Columbia University,BeyoncÃ©â€‰: How Viral Techniques Circulated a Visual Album
Early Modern Women ,AMS,Port McNeill,Nina Treadwell,"University of California, Santa Cruz",NA,NA,Eleonora Beck,Lewis & Clark College,More Than a Pretty violeta: Santa Caterina de' Vigri's Contributions to Renaissance Musical Culture
Early Modern Women ,AMS,Port McNeill,Nina Treadwell,"University of California, Santa Cruz",NA,NA,Seth Coluzzi,"Boston, Mass.",The First Songstress: The Fragmented History of Lucia Quinciani's Monody of 1611
Early Modern Women ,AMS,Port McNeill,Nina Treadwell,"University of California, Santa Cruz",NA,NA,AscensiÃ³n Mazuela-Anguita,Spanish National Research Council,"Women, Urban Experiences of Music, and the Inquisition in the Early Modern Iberian World"
Early Modern Women ,AMS,Port McNeill,Nina Treadwell,"University of California, Santa Cruz",NA,NA,Sara Pecknold,Catholic University of America,Pretiosissimo sangue: Giulio Strozzi and the
Effect and Affect ,AMS,Grand Ballroom A,Nicholas Mathew,"University of California, Berkeley",NA,NA,Estelle Jouber,Dalhousie University,Gluck's Timbral Effects and an Alternate Aesthetic of a Classic
Effect and Affect ,AMS,Grand Ballroom A,Nicholas Mathew,"University of California, Berkeley",NA,NA,Tomas McAuley,University of Cambridge,Hearing the Enlightenment: Musical Affects and Mechanist Philosophy in Early Eighteenth-Century England and Scotland
Effect and Affect ,AMS,Grand Ballroom A,Nicholas Mathew,"University of California, Berkeley",NA,NA,Catherine Motuz,McGill University,'Such as the Mind Sees When It Hears': The Rise of
Effect and Affect ,AMS,Grand Ballroom A,Nicholas Mathew,"University of California, Berkeley",NA,NA,"Word-Painting as a Tool for Expression"" Annette Richards",Cornell University,Glass Music and the Virgin Warrior
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Zachary Bernstein,"Eastman School of Music, University of Rochester","'And we go . . . even we [, even so]': Memory and Closure at the End of Babbitt's A Solo Requiem"
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Daphne Leong,"University of Colorado, Boulder","Simple Ways of Hearing, Playing, and Teaching Babbitt's Semi-Simple Variations"
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Joshua Mailman,University of Alabama,"Babbitt's Beguiling Surfaces, Improvised Inside"
