session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title,year
New Instruments ,AMS,H: Juneau,Deirdre Loughridge,"University of California, Berkeley",NA,NA,Saraswathi Shukla,"University of California, Berkeley","Seeing Rubens, Hearing Ruckers: The Sonic Palette of the Franco-Flemish Harpsichord",2014
"Notation, Improvisation, Secrecy ",AMS,W: 102 A,David Rothenberg,Case Western Reserve University,NA,NA,Roseen Giles,University of Toronto,Theology and Secrecy in the Musical Notation of Medieval Armenia,2014
"Notation, Improvisation, Secrecy ",AMS,W: 102 A,David Rothenberg,Case Western Reserve University,NA,NA,John A. Graham,Princeton University,Reinventing Improvisation: Performing Georgian Liturgical Chant from Neume Notation,2014
Its Reception ,AMS/SMT,H: Walker,Eric Dro,University of Texas at Austin,NA,NA,Drew Massey,"Binghamton University, SUNY",Thomas AdÃ¨s and the Dilemmas of Musical Surrealism,2014
Its Reception ,AMS/SMT,H: Walker,Eric Dro,University of Texas at Austin,NA,NA,Edward Venn,University of Leeds,Hearing AdÃ¨s's Music 'as' (Sur)real,2014
Mid-century Technologies of Wonder and Horror ,AMS,H: Juneau,James Deaville,Carleton University,NA,NA,Rika Asai,Indiana University,The Multimedia Advertisement: Consolidated Edison's Diorama at the 1939â€“40 New York World's Fair,2014
Mid-century Technologies of Wonder and Horror ,AMS,H: Juneau,James Deaville,Carleton University,NA,NA,Reba Wissner,Montclair State University / Berkeley College,"Music for Murder, Machines, and Monsters: 'Moat Farm Murder,' The Twilight Zone, and the CBS Stock Music Library",2014
Motets ,AMS,W: 102 A,Dolores Pesce,Washington University in St. Louis,NA,NA,Catherine A. Bradley,Stony Brook University,Why Choose an Unpopular Tenor? Combining Plainchant and Vernacular Song Techniques in Thirteenth-Century Motets,2014
Motets ,AMS,W: 102 A,Dolores Pesce,Washington University in St. Louis,NA,NA,Monica Roundy,Cornell University,What Is a Pes?,2014
Postmodern Creative Processes ,SMT,H: Walker,Richard Kurth,University of British Columbia,NA,NA,Amy Bauer,"University of California, Irvine","Ideology, Compositional Process, Optics, and Form in Georg Friedrich Haas's in vain",2014
Postmodern Creative Processes ,SMT,H: Walker,Richard Kurth,University of British Columbia,NA,NA,Christoph NeidhÃ¶fer,McGill University,Luciano Berio's 'Poetics of Analysis',2014
America Making a Spectacle of Itself ,AMS,W: 101 B,Larry Stempel,Fordham University,NA,NA,Jeffrey Magee,University of Illinois at Urbana-Champaign,"Arthur Laurents, Radio, and Modern American Musical Theater",2014
America Making a Spectacle of Itself ,AMS,W: 101 B,Larry Stempel,Fordham University,NA,NA,James O'Leary,Oberlin College,"'If This Isn't Love, It's Red Propaganda': Finian's Rainbow",2014
America Making a Spectacle of Itself ,AMS,W: 101 B,Larry Stempel,Fordham University,NA,NA,Lloyd Whitesell,McGill University,Style Modes and Meaning in the Film Musical,2014
America Making a Spectacle of Itself ,AMS,W: 101 B,Larry Stempel,Fordham University,NA,NA,Marian Wilson Kimber,University of Iowa,"Kitty Cheatham, Classical Music, Spirituals, and the Career of a Professional Child",2014
Arts Efficacy ,AMS,W: 103 C,Sumanth Gopinath,University of Minnesota,NA,NA,Victoria Aschheim,Princeton University,History as an Image: Different Trains and Its Sketches through a Benjaminian Lens,2014
Arts Efficacy ,AMS,W: 103 C,Sumanth Gopinath,University of Minnesota,NA,NA,Ryan Ebrigh,"University of North Carolina, Chapel Hill",'Reconciling the Family of Man': Steve Reich's The Cave and the Political Efficacy of Art,2014
Arts Efficacy ,AMS,W: 103 C,Sumanth Gopinath,University of Minnesota,NA,NA,Marcelle Pierson,University of Chicago,Voice and TechnÃ© in Music for 18 Musicians,2014
Arts Efficacy ,AMS,W: 103 C,Sumanth Gopinath,University of Minnesota,NA,NA,Brent Wetters,Providence College / MIT,Excavating Luigi Nono's Il canto sospeso,2014
Beyond Discipline Envy ,AMS,H: Regency,Emily Wilbourne,"Queens College, CUNY",NA,NA,NA,NA,NA,2014
Early Modern Song ,AMS,W: 102 E,Jesse Rodin,Stanford University,NA,NA,Alanna Ropchock,Case Western Reserve University,"The Medici, The Habsburgs, and Martin Luther: Context and Transmission of Josquin's Missa Pange lingua in Reformation Germany",2014
